id_circuns,id_diputado,diputado_partido,x,y,r,theta,long.ajuste,lat.ajuste,long,lat
circuns_2,circuns_2_28,MC,-100.093645,24.988399,0.412662726,252,-0.127519795,-0.392465575,-100.2211648,24.59593343
circuns_2,circuns_2_29,MC,-100.093645,24.988399,1.031656816,261,-0.161386682,-1.018955408,-100.2550317,23.96944359
circuns_2,circuns_2_30,MORENA,-100.093645,24.988399,0.825325453,270,-1.52E-16,-0.825325453,-100.093645,24.16307355
circuns_2,circuns_2_31,MORENA,-100.093645,24.988399,0.618994089,279,0.096832009,-0.611373245,-99.99681299,24.37702575
circuns_2,circuns_2_32,MORENA,-100.093645,24.988399,0.412662726,288,0.127519795,-0.392465575,-99.9661252,24.59593343
circuns_2,circuns_2_33,MORENA,-100.093645,24.988399,1.031656816,297,0.468362393,-0.919212954,-99.62528261,24.06918605
circuns_2,circuns_2_34,MORENA,-100.093645,24.988399,0.825325453,306,0.485114129,-0.667702317,-99.60853087,24.32069668
circuns_2,circuns_2_35,MORENA,-100.093645,24.988399,0.618994089,315,0.437694918,-0.437694918,-99.65595008,24.55070408
circuns_2,circuns_2_36,MORENA,-100.093645,24.988399,0.412662726,324,0.333851159,-0.242557065,-99.75979384,24.74584194
circuns_2,circuns_2_37,MORENA,-100.093645,24.988399,1.031656816,333,0.919212954,-0.468362393,-99.17443205,24.52003661
circuns_2,circuns_2_38,MORENA,-100.093645,24.988399,0.825325453,342,0.78493115,-0.255039591,-99.30871385,24.73335941
circuns_2,circuns_2_39,MORENA,-100.093645,24.988399,0.618994089,351,0.611373245,-0.096832009,-99.48227175,24.89156699
circuns_2,circuns_2_40,MORENA,-100.093645,24.988399,0.412662726,360,0.412662726,-1.01E-16,-99.68098227,24.988399
circuns_3,circuns_3_1,PAN,-94.889164,17.304981,0.964542161,9,0.952667047,0.150887637,-93.93649695,17.45586864
circuns_3,circuns_3_2,PAN,-94.889164,17.304981,0.771633729,18,0.733867286,0.238447936,-94.15529671,17.54342894
circuns_3,circuns_3_3,PAN,-94.889164,17.304981,0.578725297,27,0.515648015,0.262735787,-94.37351598,17.56771679
circuns_3,circuns_3_4,PAN,-94.889164,17.304981,0.385816865,36,0.3121324,0.226777463,-94.5770316,17.53175846
circuns_3,circuns_3_5,PAN,-94.889164,17.304981,0.964542161,45,0.682034303,0.682034303,-94.2071297,17.9870153
circuns_3,circuns_3_6,PAN,-94.889164,17.304981,0.771633729,54,0.453554926,0.6242648,-94.43560907,17.9292458
circuns_3,circuns_3_7,PRI,-94.889164,17.304981,0.578725297,63,0.262735787,0.515648015,-94.62642821,17.82062902
circuns_3,circuns_3_8,PRI,-94.889164,17.304981,0.385816865,72,0.119223968,0.366933643,-94.76994003,17.67191464
circuns_3,circuns_3_9,PRI,-94.889164,17.304981,0.964542161,81,0.150887637,0.952667047,-94.73827636,18.25764805
circuns_3,circuns_3_10,PRI,-94.889164,17.304981,0.771633729,90,4.73E-17,0.771633729,-94.889164,18.07661473
circuns_3,circuns_3_11,PT,-94.889164,17.304981,0.578725297,99,-0.090532582,0.571600228,-94.97969658,17.87658123
circuns_3,circuns_3_12,PT,-94.889164,17.304981,0.385816865,108,-0.119223968,0.366933643,-95.00838797,17.67191464
circuns_3,circuns_3_13,PT,-94.889164,17.304981,0.964542161,117,-0.437892978,0.859413359,-95.32705698,18.16439436
circuns_3,circuns_3_14,PT,-94.889164,17.304981,0.771633729,126,-0.453554926,0.6242648,-95.34271893,17.9292458
circuns_3,circuns_3_15,PVEM,-94.889164,17.304981,0.578725297,135,-0.409220582,0.409220582,-95.29838458,17.71420158
circuns_3,circuns_3_16,PVEM,-94.889164,17.304981,0.385816865,144,-0.3121324,0.226777463,-95.2012964,17.53175846
circuns_3,circuns_3_17,PVEM,-94.889164,17.304981,0.964542161,153,-0.859413359,0.437892978,-95.74857736,17.74287398
circuns_3,circuns_3_18,PVEM,-94.889164,17.304981,0.771633729,162,-0.733867286,0.238447936,-95.62303129,17.54342894
circuns_3,circuns_3_19,PVEM,-94.889164,17.304981,0.578725297,171,-0.571600228,0.090532582,-95.46076423,17.39551358
