id_estado,id_distrito,id_circuns,diputado_partido,x,y,r,theta,long.ajuste,lat.ajuste,long,lat
11,4,2,MORENA,-101.0126144,20.90543204,0.618919278,96,-0.064694681,0.615528774,-101.0773091,21.52096081
11,5,2,PAN,-101.0126144,20.90543204,0.412612852,120,-0.206306426,0.357333212,-101.2189208,21.26276525
11,6,2,PAN,-101.0126144,20.90543204,0.206306426,144,-0.166905405,0.121263875,-101.1795198,21.02669591
11,7,2,PAN,-101.0126144,20.90543204,0.618919278,168,-0.605394407,0.128680554,-101.6180088,21.03411259
11,8,2,MORENA,-101.0126144,20.90543204,0.412612852,192,-0.403596271,-0.085787036,-101.4162107,20.819645
11,9,2,PAN,-101.0126144,20.90543204,0.206306426,216,-0.166905405,-0.121263875,-101.1795198,20.78416817
11,10,2,MORENA,-101.0126144,20.90543204,0.618919278,240,-0.309459639,-0.535999818,-101.322074,20.36943222
11,11,2,PAN,-101.0126144,20.90543204,0.412612852,264,-0.043129787,-0.410352516,-101.0557442,20.49507952
11,12,2,MORENA,-101.0126144,20.90543204,0.206306426,288,0.063752192,-0.196209071,-100.9488622,20.70922297
11,13,2,MORENA,-101.0126144,20.90543204,0.618919278,312,0.414137832,-0.459946659,-100.5984766,20.44548538
11,14,2,MORENA,-101.0126144,20.90543204,0.412612852,336,0.376940597,-0.167824766,-100.6356738,20.73760727
11,15,2,MORENA,-101.0126144,20.90543204,0.206306426,360,0.206306426,-5.06E-17,-100.806308,20.90543204
12,1,4,MORENA,-99.92182525,17.66801087,0.40588727,45,0.287005641,0.287005641,-99.63481961,17.95501651
12,2,4,MORENA,-99.92182525,17.66801087,0.202943635,90,1.24E-17,0.202943635,-99.92182525,17.87095451
12,3,4,PVEM,-99.92182525,17.66801087,0.40588727,135,-0.287005641,0.287005641,-100.2088309,17.95501651
12,4,4,MORENA,-99.92182525,17.66801087,0.202943635,180,-0.202943635,2.49E-17,-100.1247689,17.66801087
12,5,4,PT,-99.92182525,17.66801087,0.40588727,225,-0.287005641,-0.287005641,-100.2088309,17.38100523
12,6,4,PVEM,-99.92182525,17.66801087,0.202943635,270,-3.73E-17,-0.202943635,-99.92182525,17.46506723
12,7,4,MORENA,-99.92182525,17.66801087,0.40588727,315,0.287005641,-0.287005641,-99.63481961,17.38100523
12,8,4,PVEM,-99.92182525,17.66801087,0.202943635,360,0.202943635,-4.97E-17,-99.71888161,17.66801087
13,1,4,MORENA,-98.88711307,20.47955668,0.403942043,51.42857143,0.251853744,0.315814606,-98.63525933,20.79537129
13,2,4,PVEM,-98.88711307,20.47955668,0.201971021,102.8571429,-0.04494278,0.196907186,-98.93205585,20.67646387
13,3,4,MORENA,-98.88711307,20.47955668,0.403942043,154.2857143,-0.363939205,0.175263884,-99.25105228,20.65482056
13,4,4,MORENA,-98.88711307,20.47955668,0.201971021,205.7142857,-0.181969603,-0.087631942,-99.06908267,20.39192474
13,5,4,MORENA,-98.88711307,20.47955668,0.403942043,257.1428571,-0.089885561,-0.393814372,-98.97699863,20.08574231
13,6,4,MORENA,-98.88711307,20.47955668,0.201971021,308.5714286,0.125926872,-0.157907303,-98.7611862,20.32164938
13,7,4,MORENA,-98.88711307,20.47955668,0.253942043,360,0.253942043,3.89E-16,-98.63317103,20.47955668
14,1,1,MORENA,-103.613211,20.58078407,0.633824567,18,0.602802985,0.195862563,-103.010408,20.77664663
14,2,1,MC,-103.613211,20.58078407,0.422549711,36,0.341849898,0.248368489,-103.2713611,20.82915256
14,3,1,PAN,-103.613211,20.58078407,0.211274856,54,0.124184244,0.170924949,-103.4890268,20.75170902
14,4,1,PVEM,-103.613211,20.58078407,0.483824567,72,0.149510014,0.460144507,-103.463701,21.04092858
14,5,1,MORENA,-103.613211,20.58078407,0.352549711,90,2.16E-17,0.352549711,-103.613211,20.93333378
14,6,1,MORENA,-103.613211,20.58078407,0.211274856,108,-0.065287521,0.200934328,-103.6784985,20.7817184
14,7,1,MORENA,-103.613211,20.58078407,0.633824567,126,-0.372552733,0.512774846,-103.9857637,21.09355892
14,8,1,PAN,-103.613211,20.58078407,0.422549711,144,-0.341849898,0.248368489,-103.9550609,20.82915256
14,9,1,MORENA,-103.613211,20.58078407,0.211274856,162,-0.200934328,0.065287521,-103.8141453,20.64607159
14,10,1,PAN,-103.613211,20.58078407,0.633824567,180,-0.633824567,7.77E-17,-104.2470356,20.58078407
14,11,1,MORENA,-103.613211,20.58078407,0.422549711,198,-0.401868657,-0.130575042,-104.0150797,20.45020903
14,12,1,MORENA,-103.613211,20.58078407,0.211274856,216,-0.170924949,-0.124184244,-103.7841359,20.45659983
14,13,1,PT,-103.613211,20.58078407,0.633824567,234,-0.372552733,-0.512774846,-103.9857637,20.06800922
14,14,1,MORENA,-103.613211,20.58078407,0.422549711,252,-0.130575042,-0.401868657,-103.743786,20.17891541
14,15,1,PAN,-103.613211,20.58078407,0.211274856,270,-3.88E-17,-0.211274856,-103.613211,20.36950921
14,16,1,MORENA,-103.613211,20.58078407,0.633824567,288,0.195862563,-0.602802985,-103.4173484,19.97798109
14,17,1,PVEM,-103.613211,20.58078407,0.422549711,306,0.248368489,-0.341849898,-103.3648425,20.23893417
14,18,1,MORENA,-103.613211,20.58078407,0.211274856,324,0.170924949,-0.124184244,-103.4422861,20.45659983
14,19,1,MORENA,-103.613211,20.58078407,0.633824567,342,0.602802985,-0.195862563,-103.010408,20.38492151
14,20,1,MORENA,-103.613211,20.58078407,0.422549711,360,0.422549711,-1.04E-16,-103.1906613,20.58078407
15,1,5,PVEM,-103.274173,16.924071,0.946517032,9,0.934863837,0.148067886,-102.3393092,17.07213889
15,2,5,PT,-103.274173,16.924071,0.837213626,18,0.796237474,0.258713238,-102.4779355,17.18278424
15,3,5,MORENA,-103.274173,16.924071,0.627910219,27,0.559472102,0.285065274,-102.7147009,17.20913627
15,4,5,MORENA,-103.274173,16.924071,0.418606813,36,0.338660026,0.246050911,-102.935513,17.17012191
